epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,24088,0.34768,0.25693,0.92673,0.73021,0.8142,0.77272,0.74165,0.3082,0.25742,0.88986,0.001618,0.001618,0.001618
129,24278.2,0.34554,0.25217,0.92539,0.73012,0.81408,0.77278,0.74178,0.3082,0.2573,0.8899,0.001552,0.001552,0.001552
130,24473.7,0.34389,0.24917,0.92533,0.72995,0.81449,0.77277,0.74189,0.30817,0.25704,0.88988,0.001486,0.001486,0.001486
131,24661,0.33865,0.24651,0.92348,0.73176,0.81051,0.77276,0.74195,0.30821,0.25677,0.88997,0.00142,0.00142,0.00142
132,24846.3,0.34256,0.24832,0.92676,0.73175,0.81044,0.77285,0.74216,0.3082,0.25663,0.88999,0.001354,0.001354,0.001354
133,25035,0.33896,0.24337,0.92387,0.73142,0.81068,0.77283,0.74229,0.30808,0.25656,0.88995,0.001288,0.001288,0.001288
134,25222.5,0.33416,0.24275,0.9208,0.73128,0.81098,0.77279,0.74227,0.30807,0.25646,0.89001,0.001222,0.001222,0.001222
135,25415.2,0.33518,0.24129,0.92211,0.73152,0.81132,0.77281,0.74231,0.30792,0.25638,0.88993,0.001156,0.001156,0.001156
136,25604.7,0.33365,0.24048,0.92296,0.73183,0.81092,0.77287,0.74231,0.30794,0.25657,0.88994,0.00109,0.00109,0.00109
137,25789.6,0.32967,0.23654,0.91926,0.73233,0.81098,0.77296,0.74255,0.30802,0.25621,0.89008,0.001024,0.001024,0.001024
138,25975.1,0.32927,0.23638,0.92042,0.73251,0.81046,0.77302,0.7426,0.30798,0.25579,0.89005,0.000958,0.000958,0.000958
139,26168.2,0.32642,0.23275,0.91593,0.73237,0.81087,0.77303,0.74278,0.30793,0.2555,0.89,0.000892,0.000892,0.000892
140,26352.6,0.32423,0.23187,0.9178,0.73209,0.81066,0.77307,0.74266,0.3079,0.25539,0.89001,0.000826,0.000826,0.000826
141,26561.3,0.22151,0.14833,0.83286,0.73213,0.81112,0.77308,0.74266,0.30797,0.25536,0.89012,0.00076,0.00076,0.00076
142,26741.9,0.2148,0.14289,0.827,0.73223,0.81127,0.7731,0.74265,0.30812,0.25515,0.89018,0.000694,0.000694,0.000694
143,26921,0.21109,0.13761,0.82286,0.73222,0.81144,0.77312,0.74279,0.30811,0.25519,0.89025,0.000628,0.000628,0.000628
144,27099.6,0.2053,0.13442,0.82088,0.73205,0.81236,0.77315,0.74266,0.30823,0.25529,0.89032,0.000562,0.000562,0.000562
145,27279.6,0.20259,0.13187,0.82012,0.73195,0.81263,0.77315,0.74288,0.30829,0.2552,0.89041,0.000496,0.000496,0.000496
146,27458.6,0.20138,0.13175,0.82026,0.73115,0.81422,0.77323,0.74304,0.30844,0.25524,0.89058,0.00043,0.00043,0.00043
147,27640.2,0.19846,0.13039,0.81957,0.73126,0.81431,0.77328,0.74321,0.30846,0.25502,0.89064,0.000364,0.000364,0.000364
148,27820.3,0.19641,0.12771,0.81451,0.73135,0.81423,0.7733,0.74317,0.30892,0.25496,0.89159,0.000298,0.000298,0.000298
149,27999.6,0.19467,0.12855,0.81652,0.73144,0.81439,0.77333,0.74325,0.30891,0.25512,0.89169,0.000232,0.000232,0.000232
150,28180.2,0.1927,0.12555,0.81411,0.7318,0.81389,0.77102,0.74152,0.30897,0.25491,0.89181,0.000166,0.000166,0.000166
